name,rating,vicinity,total_ratings,formatted_address,website,phone_number,opening_hours,reviews,latitude,longitude,arrondissement
The Family,4.5,"7 Rue La Fayette, Paris",667,"7 Rue La Fayette, 75009 Paris, France",https://www.thefamilyrestaurant.fr/,01 42 80 03 54,"['Monday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20095:00\u202fPM']","I visited ""The Family"" restaurant with my family and was delighted by the experience. From the moment we entered, we were warmly welcomed by a big, fluffy teddy bear holding the menu written on a charming chalkboard. This adorable touch instantly made us feel at home.
The food was well presented, with generous portions that were just right. Most importantly, the taste did not disappoint. Each dish was flavorful and satisfying, making our dining experience truly enjoyable. ""The Family"" restaurant certainly lives up to its name, providing cozy and inviting atmosphere perfect for a family outing.; So I Google a place to have a reasonable steak, so many great reviews about this place and I need to add mine as well. The service was fantastic, spoken English, had an English menu on a chalkboard which is pretty awesome and check out this food in the pictures. I can see why people come back to this place for sure. Well done, Bravo!!! 👍🍻👏👏👏

Both Deviled Eggs salad and Steak were 👍👍👍; Felix was the BEST waiter!! Super attentive, very funny and so kind!! Made great wine recommendations and the food was phenomenal! Highly recommend stopping by The Family on your next trip to Paris!; Nice staffs, even though I don't speak French.
Reasonable price. Tasty food.
The onion soup was a bit salty.
Feeling full and no room to order dessert.
Happy dinner in French!; The best linguine I have ever had.  The chorizo made it perfect. Fantastic service. Only in Paris three nights and ate there twice because it was so good. The rest of my family had the steak and they all raved about that too.",48.8735793,2.3347167,1er
Kick Café,4.4,"12 Rue d'Alexandrie, Paris",638,"12 Rue d'Alexandrie, 75002 Paris, France",http://kpopisforcoolkids.com/,01 53 40 87 91,"['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']","I visited this cafe in april 2022. As we got there 15 mins before they were closing, they only served us something to drink. The drinks were delicious, I also bought a txt album. Very friendly staff. Mark Tuan went there too!!!!!
I love the decorations, the atmosphere and the concept.; Came from uk for event this cafe was amazing food was delicious loved the drink designed by castle J will definitely return here when we come for our next concert; Nice kawaii coffeeshop. The back of the shop need to be more furnished seems a bit empty and not organized; Cute little café and boutique k-pop themed. If you like color and sugar, this place is for you :); Really nice cafe! Cute decoration and the staff was very nice and spoke english very well! The drinks were delicious and I loved all the kpop decorations!",48.8682111,2.3506547,1er
Friends & Family Restaurant,4.6,"18 Cité Bergère, Paris",513,"18 Cité Bergère, 75009 Paris, France",https://www.friends-n-family.com/,01 45 23 33 33,"['Monday: Closed', 'Tuesday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']","Restaurant is so aptly named as the atmosphere is cosy with tables of patrons chatting happily away. The waiter is very friendly. Even though he can barely speak English but still tries to communicate as much as he can. The menu is very simple. You either choose 2 courses pairing the mains with entrees or dessert for 28 Euros or all 3 courses for 36 Euros. All the items in each course is written in French onto the chalkboard. So i presume it is changed regularly. Though I can't understand French,  its easily overcome with Google Lens . The entree of squid and chorizo sausages in an orange thick soup was a pleasant surprise. For the mains I tried beef tatare for the first time and it tastes good. Ended meal with a chocolate mousse with sea salt. The waiter was a one man show handling many tables so each course took some time to arrive which was understandable. Hope the restaurant can find some help soon for this kind gentleman :); Great casual spot.
Came for a Thursday night dinner. Service was very good and the staff is very nice. The place is quiet and chill and away of the street’s bustle.
Buratta and the apricot crumble were the highlight of the evening.
Beef fillet was also good, but nothing too exciting.; We were looking for a fine dine restaurant, this was recommended by our hotel staff, and surprisingly this was indeed a good experience. Price it's reasonable, portions are great, great service! The only improvement I see are the desserts, they are too heavy by my taste, but definitely does not affect overall experience.; The restaurant was an absolutely fantastic discovery having come here for dinner with a friend! We chose it judging by all the positive reviews & we weren't disappointed 😍 Every dish that we ordered was absolutely exquisite!! We had the burrata as a starter, the dorade ceviche as a main and the seasonal crumble, as well S the mousse au chocolat for dessert - each and every one of them was a little wow experience 🤯 The prices were fair for the outstanding quality - 27€ for a starter + a main dish or a main dish + a dessert; or 35€ for all the three courses. I had a white wine suggested which fit perfectly with the food and all in all, the service was so warm and welcoming, which is extremely refreshing in the world of grumpy Parisian waiters 😅 The only thing to mention, is that it would be great to have some more qualitative tea instead of just Lipton in a tea bag 😏 It's located in a little hidden street, so it's really calm & away from all the noise of the cars, while being super central, it's simply the perfect mix!!! We will be back for sure & I have already suggested it to other friends ♥️; It was a nice fixed price menu place. My favorites were the mushroom soup starter and the desserts. For my entrée I had the steak tartare, and I guess it's one of those things I can check off the list as having tried. They've got plenty of wines to choose from, if that's your thing.",48.8721028,2.3448976,1er
Cozy Factory ( poke bowls & sandwich),4.6,"36 Rue Saint-André des Arts, Paris",140,"36 Rue Saint-André des Arts, 75006 Paris, France",Site web non disponible,Numéro non disponible,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:00\u202fPM']","The poké was very fresh. I liked the portion size also. The staff was very friendly and patient. You can ask for the wifi code to save some data when visiting around paris. They also have a restroom too. Which is a nice addition for a small place. Nice place to rest when walking around paris.; Good poke restaurant, fresh products,  good service
Prices are correct: from 9.90 euros
Two sizes : L or XL
You can make your bowl as well choosing the size; Great food and good service! Not so nice to sit because it‘s a small place; Lovely place to eat! Great service, friendly staff, so willing to help us even though we don't speak French very well. The food was delicious, very fresh and a lot of choice. Also the name fits well: cozy and pretty interior. Would definitely visit again!; Very cozy place with nice and fresh food
Recommended for a quick lunch",48.85340060000001,2.3417672,1er
Café Latin,4.2,"30 Rue Saint-André des Arts, Paris",542,"30 Rue Saint-André des Arts, 75006 Paris, France",http://www.cafelatin.fr/,01 46 33 02 06,"['Monday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u20092:00\u202fAM']","The best meal in Paris! We had a fantastic dinner at Cafe Latin on a busy Saturday evening but were seated right away. Our waiter was super friendly, knowledgeable, and clearly passionate about the food.
The duck confit and veal kidney were the best dishes we’ve had in France, ever! The waiter also recommended a lovely wine that paired perfectly with our meal. I really can't recommend this place enough. If you find yourself in Paris, go to Cafe Latin - you won't regret it!; We LOVED this place. Happened to stumble in and had an amazing experience. The cook is a former Michelin chef that opened his own place. The cheeseburger was to die for and the kidneys were exceptional if you're looking to go authentic. Waitstaff and owner were so friendly and made sure our meal was perfect! Highly recommend!; I had the steak tartare, one of the best one ai had. One of the owner is serving and is very friendly and you can see that he is passionate about his bistro. Check it out, worth the detour!; We enjoyed a very nice meal at this restaurant. It was a busy night but we were seated promptly. The food was well presented and very tasty. The service was professional and friendly. There was a lovely atmosphere and at all times we were treated as welcome guests.; 14€ for 3 slices of cheese and some random salad. Really? What a rip off. They weren’t good either.",48.8533669,2.3422756,1er
Dame Tartine,4.2,"2 Rue Brisemiche, Paris",1140,"2 Rue Brisemiche, 75004 Paris, France",https://www.wiictechnology.com/WiiC_clouds/offre.php?resto=223,01 77 18 88 59,"['Monday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200911:00\u202fPM']","We came across this place totally by chance but what a find. People are incredibly nice, welcoming. The food, homemade, is really good and the meat was excellent. Although area is very touristic, it is the exception and it feels like a local restaurant. Every time we went, most customers were french people which is a great sign. The terrasse experience is really nice; The food was great. I had the veal steak with mashed potatoes and it was awesome. Kids had the beef steak and loved it. Honestly can’t remember my wife dish name but looked great!
The staff were super friendly and spoke fluent English.; I ordered a beef steak and was surprised when they brought a medium rare. By default in every restaurant I've ever been it's medium.

Medium rare is still smth that I eat but it was unevenly fried and a half of the steak was completely raw. Although I was very hungry raw is not what I can eat.

The waitress didn't even bother to ask why I didn't finish my steak. Overall she looked tired, unhappy and at the same time busy - she was the only one to serve all the tables. It wasn't a peak hour and only about third of the tables is not less were occupied.; Great place with great food. I had the sea bass and a huge portion of profiteroles for dessert. So good.
The place is heaving with people in the evening, it’s got a very youthful vibe and I like that.
Great selection of drinks too.; Awful service, the guy was rude to customers and slammed our glasses when serving them to us.
Not to mention when my friend asked for the bill he loudly said that he should go inside to pay while shaking his head.
Do not recommend unless you’re a big fan of cheese and rude people.",48.8593182,2.3517222,1er
Wonderland brunchy Notre Dame/ Restaurant Brunch,4.6,"4 Quai d'Orléans, Paris",1937,"4 Quai d'Orléans, 75004 Paris, France",https://www.instagram.com/p/CpK6rLdIo13/?igshid=YmMyMTA2M2Y=,07 66 82 21 27,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']","Super good food ! Yummy and looks so pretty. We were well received and served with a smile (so important in Paris right ? 😇)
It’s a little more expensive than we thought but you get what you pay for. Around 18€ for a main. We shared pancakes after so it came out to about 28€ pp for a drink a main and a shared dessert.
Toilets clean, coffee is pretty good, I got a very original drawing on line which made me very happy !; Absolutely amazing brunch spot! We went here every day during our trip in Paris because it was so good. The staff was so kind and friendly to us, especially the server (wish we had asked her name). Highly recommend the eggs Benedict, purple pancakes, and purple french toast. If you want to avoid waiting, go on weekdays or get there when they open on weekends. We loved it!; Best impressions! Food is always delicious, my favorite place for brunch dishes in Paris! Located in the great spot as well! The service is very kind and friendly. Thank you for your always welcoming attitude and honesty.; Food was excellent! Everything that we tried was tasty. Portions were big. Staff was friendly and helpful. But it was 26 degrees outside, you can sit only inside and it was too hot.
All in all it was a very pleasant experience! Thank you!; Me and my friend had the purple french toast, which was amazing!! She already had it before and had to come back to get it.

Also the staff were so lovely and gave us great tips for Paris as a first-timer 🤍",48.8512622,2.3558103,1er
EatDay,4.5,"73 Rue Saint-Martin, Paris",420,"73 Rue Saint-Martin, 75004 Paris, France",https://eatday75.com/,01 42 74 71 31,"['Monday: 11:30\u202fAM\u2009–\u20092:45\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Tuesday: Closed', 'Wednesday: 11:30\u202fAM\u2009–\u20092:45\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20092:45\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20092:45\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200910:45\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u200910:45\u202fPM']","We decided to visit this restaurant based on the good reviews it had on the Fork. We were craving japanese food and noticed they had some special plates. It was really tasty and fresh and very well presented. Our favourite was the gold rolls with mango and the Sushi with cheese and the salad with shrimps.; When I got to this restaurant, it’s warm ,and food is delicious, must try the sushi ,that’s yummy; Service was horrible the entire night. We waited over an hour for our food and by the time we got it the entire restaurant was empty. The staff would yell at each other and ignore me. The food was decent, not amazing. Thankfully it was 40% off through The Fork. I’m definitely not going back and would advise others to avoid.; Really great discovery! You have a great amount of choice in terms of sushis and we were really surprised how tasty it was. You order your food with a tablet which makes it easier. The personnel was also nice. I really recommend to try this place!; Excellent Japanese restaurant at the heart of Paris not far From the center (Chatelet).
The food is very good, the sushi, the sashimi, the California rolls… etc
Fresh ingredients and homemade!
Outstanding service and lovely staff!
I highly recommend this place",48.8594865,2.3503487,1er
Le bon moment café,4.7,"24 Rue des Bernardins, Paris",383,"24 Rue des Bernardins, 75005 Paris, France",https://lebonmomentparis.eatbu.com/,09 83 09 51 53,"['Monday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20097:00\u202fPM']","What a beautiful cafe! The staff is super friendly and kind. The latte was delicious, and so were my pancakes! They reminded me of American pancakes, which are not easy to find in Paris. I definitely recommend. I can’t wait to go back and try more things on the menu!; We ate here recently for breakfast. It's a really cute café in a very quiet street. My friend and I ordered pancakes, I ordered also the açai bowl. The food was absolutely delicious, and the only fault I had was that the pancakes are so small and unfortunately not filling at all. They were great though but definitely need at least 50% more. The staff are very nice and attentive. The plates were beautifully presented. The coffee is exceptional here, my new favourite café for coffee. Highly recommend this place.; I recently tried the passion fruit iced tea at this café, and it was fantastic. Refreshing and full of flavor, it was the perfect drink for a warm day. The café's setting by the Seine and next to Notre-Dame makes it even more enjoyable. The beautiful surroundings add to the relaxing atmosphere. Highly recommend giving it a try!; One of the first places I visit when I arrive to my first visit to Paris. I needed to work something in my computer and it was great the atmosphere, very wholesome. It has an area for kids to read. The owners were so nice and welcoming. The coffee and the chocolate chip cookies were great (I am a fan of 🍪). If I ever go back I will like to visit once again. I wish the best to this café.; Really cute & lovely coffee shop! Loved the staff there, really nice! In terms of food, we took a carrot cake, a black sesame latte & mango&pineapple smoothie. Everything was really good! I would love to come back and try the other things there. In terms of space, there are not a lot of tables so it can be easily packed, not suitable for big groups. I would recommend coming there! ++ for the lovely menu which was probably handmade and then printed.",48.850106,2.3504724,1er
Crêperie Little Breizh,4.7,"11 Rue Grégoire de Tours, Paris",1196,"11 Rue Grégoire de Tours, 75006 Paris, France",https://www.facebook.com/LittleBreizhCreperie,01 43 54 60 74,"['Monday: Closed', 'Tuesday: 11:45\u202fAM\u2009–\u20092:40\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Wednesday: 11:40\u202fAM\u2009–\u20092:40\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Thursday: 11:40\u202fAM\u2009–\u20092:40\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Friday: 11:40\u202fAM\u2009–\u20092:40\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Saturday: 11:40\u202fAM\u2009–\u20093:15\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Sunday: Closed']","Maybe I was eating too fast but I got really full halfway through my first crepe. But I had already pre-ordered the dessert so I definitely overdid it with two crepes. The servers were very nice.; I personally loved this cozy little place. We randomly checked the map and saw its rating so gave it a try, that happened in June 2024 btw. We tried one savory and one sweet crepe and enjoyed both. It was super crowded so service was a little slow but people were quite nice and I felt that they tried their best.; We had ordered one savoury and one sweet crepes.  All is a delicious food.  The service is nice and friendly, but not many types of coffee to select; We had a delicious and delightful meal here - managed to sit down just before the dinner time rush, but the service was friendly and efficient at all times. We had two savoury and one dessert crepes - all were excellent! Compliments to the chef, would love to come back.; We came here on a Saturday afternoon. It wasn't full when we arrived but after we sat down the place started to fill up with people. We ordered the crepe with ham, cheese and egg and the crepe little Breizh crepe as well as a cider. You can't have crepes without cider in France.
The savoury ham, cheese and egg crepe was really crispy and savoury. I preferred the sweet crepe with ice cream and caramel more. It wasn't overly sweet. Everything went really well with the cider.
The service here is VERY nice. A lot of regulars come here and you can see the love and care that the owner has put into maintaining her relationships. Would recommend for crepes.",48.8532158,2.3379429,1er
