,1,Pa-75001,Park,JARDIN NELSON MANDELA,Louvre,75001
0,1.2._75015_1327,Re-75015,Restaurant,1.2.3. Famille,Vaugirard,75015
1,10,Pa-75003,Park,SQUARE LEOPOLD ACHILLE,Temple,75003
2,10022,Pa-75018,Park,SQUARE MARC SEGUIN,Butte-Montmartre,75018
3,10023,Pa-75020,Park,SQUARE DU DOCTEUR J. J. GRANCHER,Menilmontant,75020
4,10031,Pa-75004,Park,JARDIN DU CLOS DES BLANCS MANTEAUX-FRANCESCA DANDOLO,Hotel de ville,75004
5,10033,Pa-75005,Park,SQUARES DES ARENES DE LUTECE ET CAPITAN,Pantheon,75005
6,10043,Pa-75016,Park,JARDIN DU PRE CATELAN,Passy,75016
7,10046,Pa-75020,Park,SQUARE JACQUES GRYNBERG,Menilmontant,75020
8,10050,Pa-75012,Park,ECOLE D'HORTICULTURE DU BREUIL,Reuilly,75012
9,10074,Pa-75011,Park,SQUARE OLGA BANCIC,Popincourt,75011
10,10077,Pa-75014,Park,JARDIN FRANCOISE HERITIER,Observatoire,75014
11,10081,Pa-75012,Park,JARDIN D'AGRONOMIE TROPICALE,Reuilly,75012
12,101,Pa-75008,Park,JARDINS DES CHAMPS ELYSEES,Elysee,75008
13,10131,Pa-75004,Park,JARDIN DE L'HOTEL DE SENS,Hotel de ville,75004
14,10133,Pa-75013,Park,JARDIN CYPRIAN KAMIL NORWID,Gobelins,75013
15,10134,Pa-75013,Park,JARDIN DES GRANDS MOULINS  - JARDIN CENTRAL,Gobelins,75013
16,10135,Pa-75013,Park,JARDIN DES GRANDS MOULINS  - JARDIN DE L'AVENUE DE FRANCE,Gobelins,75013
17,10136,Pa-75013,Park,JARDIN DES GRANDS MOULINS  - JARDIN DES ECOLES,Gobelins,75013
18,10138,Pa-75018,Park,JARDIN D'EOLE,Butte-Montmartre,75018
19,10139,Pa-75011,Park,JARDIN DE LA FOLIE TITON,Popincourt,75011
20,10140,Pa-75013,Park,JARDIN PAUL NIZAN,Gobelins,75013
21,10141,Pa-75012,Park,JARDIN DE L'IMPERATRICE EUGENIE,Reuilly,75012
22,10142,Pa-75003,Park,JARDIN DU MUSEE CARNAVALET,Temple,75003
23,10146,Pa-75004,Park,JARDIN DE L'HOTEL LAMOIGNON - MARK ASHTON,Hotel de ville,75004
24,10151,Pa-75004,Park,JARDIN DES ARTS -  ALBERT SCHWEITZER,Hotel de ville,75004
25,10165,Pa-75009,Park,JARDIN DE LA BIBLIOTHEQUE THIERS (FONDATION DOSNE),Opera,75009
26,102,Pa-75008,Park,JARDIN DE LA FONDATION NATIONALE DES ARTS GRAPHIQUES ET PLASTIQUES SALOMON DE ROTHSCHILD,Elysee,75008
27,103,Pa-75008,Park,JARDIN  DE KYIV,Elysee,75008
28,104,Pa-75008,Park,SQUARE JEAN PERRIN,Elysee,75008
29,10729,Pa-75004,Park,JARDIN DES ROSIERS-JOSEPH MIGNERET,Hotel de ville,75004
30,10733,Pa-75009,Park,JARDIN CROMOT-DU BOURG,Opera,75009
31,10743,Pa-75015,Park,JARDIN DES MERES ET GRAND-MERES DE LA PLACE DE MAI,Vaugirard,75015
32,10747,Pa-75013,Park,JARDIN BIOPARK,Gobelins,75013
33,10777,Pa-75018,Park,JARDIN FREDERIC DARD,Butte-Montmartre,75018
34,10780,Pa-75020,Park,JARDIN DE LA RUE NOEL BALLAY,Menilmontant,75020
35,10782,Pa-75012,Park,SQUARE LEO FERRE,Reuilly,75012
36,10783,Pa-75013,Park,JARDIN DE L'ESPLANADE DES GRANDS MOULINS,Gobelins,75013
