"A.LACROIX Pâtisserie","Coffee shop","11 Quai de Montebello","11 Quai de Montebello, 75005 Paris","https://www.alacroixparis.com/ in front of Notre Dame","Numéro non disponible","Horaires non disponibles","Great place for the kids","75005","A.LA_75005_59","Co-75005","kfgo6075","kfgo6075_60"
"All Good Things Paris","Restaurant","60 Rue Custine, Paris","60 Rue Custine, 75018 Paris, France","https://www.allgoodthingsparis.com/","09 55 68 36 32","['Monday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Tuesday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Wednesday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Thursday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Friday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Saturday: 8:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Sunday: 8:00\\u202fAM\\u2009–\\u20092:00\\u202fAM']","Spent time browsing through so many other brunch options in Montemarte and settled on this last minute\
\
Came early on a Friday morning, one of their first customers. Their coffee was surprisingly really good! We ordered an americano and latte. My husband and I don’t drink coffee often but we loved it here. It came with pain au chocolate which were divine with our espressos. We also had the croque madame, good balance of meat, cheese and sunny side up egg but the toast underneath was a little dry. Still good nonetheless. Our waitress was so nice and sweet. Loved the atmosphere of this restaurant! Clean bathrooms.; Location top and staff amazing and super friendly! We had a brunch this morning and WOW! Food is super tasty ! We will definitely come back! Ps: un gracias especial a Federico, que ha sido súper simpático y habla un italiano perfecto! \
A big thanks to everyone.. we will definitely come back! Giulia & Sara from Italy ; Second visit, the first being brunch.\
Very friendly and the place was buzzing for dinner tonight. The host and staff were attentive and even helped with our struggles with french yet made us feel at ease. The menu was available online in English which was greatly appreciated. Food was excellent and the staff even went a little more than needed with service. I Enjoyed three courses and would happily eat here again.; Great place, amazing service, cute interior, very good food. We had the Eggs Benedict with Cheddar and Ham (€15) and it’s just like you’d wish them. They have full brunch menu for €25 with drinks included. There’s space for improvement for the Home Made Iced Tea, though. The taste is very faded, basically flavoured water and does not correspond to the price (€5). Still this place gets 5 stars from me for everything else.; Went on a Sunday morning for a buffet. It was excellent, pic below is part of what they offered, there was more ….The food was perfect from the eggs right down to the hot chocolate. 10/10, the price was worth the experience and quality of food and service. Bravo","75018","All_75018_0","Re-75018","kfgo6075","kfgo6075_1"
"April cafe","Coffee shop","13 rue des récollets","13 rue des récollets, 75010 Paris","Site web non disponible","Numéro non disponible","Horaires non disponibles","Excellent for kids and parents, Absolutely beautiful place to enjoy a coffee and cake with a little one. Everything we ate was delightful and my 2 yo son played the whole time in a peaceful and safe environment.\
I will definitely come back again!, This little French Coffee shop is absolutely amazing. It's warm, inviting and the staff is friendly. The coffee and pastries were amazing. I had loads of fun making my tasty delights. Pooping 5* parties is a guilty pleasure, but here I have to put my earthly blood just aside to endorse the 5* rating. This place is an oasis of peace, ans most critically, the coffee is good. The cake and smoothie too are up to the task. The drivers of this peace train are suitably calm and methodical. Not a place for rushing, but why rush to leave the peace train?, With two friends, I visited this cafe by accident on a Sunday afternoon when we were looking for a spot to work.\
\
The host is really warm and wonderful to talk to. We also managed to exchange our recipes as well. We didn't eat much but the grilled cheese sandwich and the banana cake was great. Nice little place - kids loved the corner with books and toys and were in no rush to leave,We had espresso, a smoothie, and grilled cheese. It was all so good! It was the best coffee I had in France, during my 4 day stay. Very cute, small place.","75010","Apri_75010_36","Co-75010","kfgo6075","kfgo6075_37"
"Au Fond du Jardin","Restaurant","39 Rue Pelleport, Paris","39 Rue Pelleport, 75020 Paris, France","https://sites.google.com/view/afdj/accueil","09 54 33 04 96","['Monday: 12:00\\u2009–\\u200911:30\\u202fPM', 'Tuesday: 12:00\\u2009–\\u200911:30\\u202fPM', 'Wednesday: 12:00\\u2009–\\u200911:30\\u202fPM', 'Thursday: 12:00\\u2009–\\u200911:30\\u202fPM', 'Friday: 12:00\\u2009–\\u200911:30\\u202fPM', 'Saturday: 12:00\\u2009–\\u200911:30\\u202fPM', 'Sunday: 12:00\\u2009–\\u200911:30\\u202fPM']","Amazing atmosphere, good food, lovely staff; Great place, beautiful garden setting, delicious food and drinks.; Super nice hidden garden, the restaurant is a great place for a quiet dinner.\
The food is pretty good, so are the cocktails. The service is efficient, and the food and drinks are fairly priced; Pizzas are good and not too expensive, although not completely filling, you should expect to need a starter or desert. The backyard is calm and nicely decorated, it's awesome during a sunny day.; Cozy place, caring waiter, pleasant general atmosphere. We weren't disappointed by the dinner at this place. Although, they didn't check vaccine certificate. Some other minuses:\
- food was mediocre (fish of the day was not well cooked and vegetables was quite watery, still, the fish tasted nice);\
- absence of the music is awkward, because you can hear all the talks around.","75020","AuF_75020_1","Re-75020","kfgo6075","kfgo6075_2"
"Bistrot MÔM","Restaurant","4-6 Rue Pierre Demours, Paris","4-6 Rue Pierre Demours, 75017 Paris, France","http://www.momrestaurant.fr/","01 40 68 72 71","['Monday: 9:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Tuesday: 9:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Wednesday: 9:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Thursday: 9:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Friday: 9:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Saturday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Sunday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM']","The chef did a great job with the food selection for the New Year's Eve dinner! We enjoyed the sea bass and beef dishes, with elegant presentation and generous portions. Friendly, cozy and chic atmosphere tucked away in a lovely neighborhood. Thank you for making our family's NYE dinner special!; Nice French resto with a lot of options. The prices are reasonable & the service is great. Had a birthday here and did not dissapoint. The only drawback was that it the taste of the food was just good, not great or unbelievable, and this is not a bad thing actually.; Loved the place ! Food and drinks are of good quality and staff is nice and welcoming. Prices might be a bit high but you won’t regret it.\
To top it off the blind test on the first floor and the private room allow you to plan for more than just a nice meal.; Impeccable service and absolutely delicious food. Highly recommended.; Great atmosphere for cocktails and good starters","75017","Bist_75017_54","Re-75017","kfgo6075","kfgo6075_55"
"Café Du Oratoire","Restaurant","143 Rue Saint-Honoré, 75001 Paris","143 Rue Saint-Honoré, 75001 Paris","Site web non disponible","Numéro non disponible","Horaires non disponibles","This restaurant is the best of the best! The food is amazing and not expensive at all. There’s always space for the kids, and they’re treated really well. They don’t have crayons or coloring pages, but they’ll lend paper and pens if parents ask. The owners are a couple with a child—they’re wonderful with kids. Plus, there’s a bit more space compared to other restaurants in Paris. Highly recommended—my family’s favorite spot!","75001","Café_75001_64","Re-75001","kfgo6075","kfgo6075_65"
"Café Baby Foot","Restaurant","137 Boulevard Saint-Michel, Paris","137 Bd Saint-Michel, 75005 Paris, France","Site web non disponible","Numéro non disponible","['Monday: 10:00\\u202fAM\\u2009–\\u20097:00\\u202fPM', 'Tuesday: 10:00\\u202fAM\\u2009–\\u20098:00\\u202fPM', 'Wednesday: 10:00\\u202fAM\\u2009–\\u20097:00\\u202fPM', 'Thursday: 10:00\\u202fAM\\u2009–\\u20098:00\\u202fPM', 'Friday: 10:00\\u202fAM\\u2009–\\u20098:00\\u202fPM', 'Saturday: 10:00\\u202fAM\\u2009–\\u20097:00\\u202fPM', 'Sunday: Closed']","One water (50cl)  and one orangina (23 cl ) 9 euros. Too expensive and so bad attention from the waiter. Never will come back.; Good food to a really cheap price; Priceless vestige of a Paris that almost disappeared. A thousand miles from faux-authentic marketing, this is a neighborhood café where you immediately understand that you are not the umpteenth customer to be fleeced. It's precious. We just regret that it is not open more.; Very pleasant and original café located a few steps from the station: Port-Royal...and the magnificent garden of the great Explorers...!\
The owner is very welcoming and smiling and makes excellent croque-monsieur or sandwiches with unrivaled talent and know-how! ...\
In addition, it is allowed to cultivate oneself and she sells second-hand books, all at a flat rate of €2...allowing you to nourish your mind as well as your body...\
Café that deserves to be discovered for its original and diverse atmosphere...!\
There is a real table football in the café (the English say: \"Table football\" for table football...I think...)..an out of tune piano (for the moment)..guitars.... a slightly bohemian café, in a way, as we like them on the Boul'mich to relax without problems...; Discovered by chance, an atypical place in the heart of Paris. Authentic, no fuss. If you're a fan of rigor and pseudo Parisian chic, don't worry, it's a real neighborhood bar.","75005","Café_75005_18","Re-75005","kfgo6075","kfgo6075_19"
"Café Latin","Restaurant","30 Rue Saint-André des Arts, Paris","30 Rue Saint-André des Arts, 75006 Paris, France","http://www.cafelatin.fr/","01 46 33 02 06","['Monday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Tuesday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Wednesday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Thursday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Friday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Saturday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Sunday: 11:00\\u202fAM\\u2009–\\u20092:00\\u202fAM']","The best meal in Paris! We had a fantastic dinner at Cafe Latin on a busy Saturday evening but were seated right away. Our waiter was super friendly, knowledgeable, and clearly passionate about the food.\
The duck confit and veal kidney were the best dishes we’ve had in France, ever! The waiter also recommended a lovely wine that paired perfectly with our meal. I really can't recommend this place enough. If you find yourself in Paris, go to Cafe Latin - you won't regret it!; We LOVED this place. Happened to stumble in and had an amazing experience. The cook is a former Michelin chef that opened his own place. The cheeseburger was to die for and the kidneys were exceptional if you're looking to go authentic. Waitstaff and owner were so friendly and made sure our meal was perfect! Highly recommend!; I had the steak tartare, one of the best one ai had. One of the owner is serving and is very friendly and you can see that he is passionate about his bistro. Check it out, worth the detour!; We enjoyed a very nice meal at this restaurant. It was a busy night but we were seated promptly. The food was well presented and very tasty. The service was professional and friendly. There was a lovely atmosphere and at all times we were treated as welcome guests.; 14€ for 3 slices of cheese and some random salad. Really? What a rip off. They weren’t good either.","75006","Café_75006_17","Re-75006","kfgo6075","kfgo6075_18"
"Cafe Louise","Restaurant","155 Boulevard Saint-Germain, Paris","155 Bd Saint-Germain, 75006 Paris, France","https://www.cafe-louise.fr/","01 42 22 88 98","['Monday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Tuesday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Wednesday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Thursday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Friday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Saturday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Sunday: 7:00\\u202fAM\\u2009–\\u20092:00\\u202fAM']","We came here for brunch on a Sunday. It’s €38 per person, including a juice (freshly squeezed or detox juice), a coffee, a choice of either waffle or savory tart, and bottomless fruits and desserts from the buffet table. The warm and friendly staff made the already fantastic meal even better. Highly recommended.; We loved Louise! Such Parisian atmosphere and interior. Excellent service and amazing food. Right on the middle of the famous Boulevard Saint-Germain across the street from famous cafes. So lucky we found it!; Great place for Sunday brunch, had a good Parisian breakfast. Fresh juice, coffee as well.\
Dessert was divine, came here with family. The service is slow but quite enjoyable.; Visited Café Louise twice last weekend and we were very delighted.\
The staff was super nice, professional and funny and the food was delicious. Highly recommended!!; Had a uniquely French lunch - \"grilled cheese\" and champagne, sitting outside, taking in the atmosphere, and watching the crowd walk (fast) by.","75006","Cafe_75006_50","Re-75006","kfgo6075","kfgo6075_51"
"Café Klin","Coffee shop","6 Rue Deguerry, Paris","6 Rue Deguerry, 75011 Paris, France","https://www.cafeklin.com/","07 67 86 08 26","['Monday: 11:00\\u202fAM\\u2009–\\u20093:00\\u202fPM', 'Tuesday: 9:30\\u202fAM\\u2009–\\u20095:00\\u202fPM', 'Wednesday: 9:30\\u202fAM\\u2009–\\u20095:00\\u202fPM', 'Thursday: 9:30\\u202fAM\\u2009–\\u20095:00\\u202fPM', 'Friday: 9:30\\u202fAM\\u2009–\\u20095:00\\u202fPM', 'Saturday: 11:00\\u202fAM\\u2009–\\u20096:00\\u202fPM', 'Sunday: Closed']","Highly recommend l!! A really nice café with loads of veggie options. They also serve Natural wine and have a great selection of fresh juice and craft beer.\
A must to try when you are around Republique area in Paris. 5 stars.; I am not vegan but I find the food in this little café absolutely delicious. I had a taster meal (5 courses) and everything was fresh and tasty. Staff is very nice. You can even seat outside. I will come back; One of my best cafes for breakfast in the morning. An active atmosphere. And their service is good. And a special thanks to the restaurant manager. I will be back to visit again.; Cute interior, a bit dirty, the coffee was good. The selection of pastry was a bit small but it was ok.; An excellent cafe, super friendly staff. Highly recommended !","75011","Café_75011_38","Co-75011","kfgo6075","kfgo6075_39"
