"111 Rue de Rivoli","Les Halles, Paris","museum","48.8623","2.34474","75001","111_75001_153","mu-75001","kfex3075","kfex3075_154"
"11th arrondissement","11th arrondissement","playground","48.8579","2.38039","75003","11th_75003_384","pl-75003","kfex3075","kfex3075_385"
"12th arrondissement","12th arrondissement","playground","48.8367","2.40349","75004","12th_75004_479","pl-75004","kfex3075","kfex3075_480"
"13'Infuz - Les tisanes de la Petite Ceinture","en face du n° 9, Rue Augustin Mouchot, Paris","park","48.8213","2.35033","75013","13'I_75013_1383","pa-75013","kfex3075","kfex3075_1384"
"137 Avenue Jean Jaures","139 Avenue Jean Jaurès, Paris","playground","48.8866","2.38402","75019","137_75019_2351","pl-75019","kfex3075","kfex3075_2352"
"13th arrondissement","13th arrondissement","playground","48.8262","2.3599","75005","13th_75005_587","pl-75005","kfex3075","kfex3075_588"
"15th arrondissement","15th arrondissement","playground","48.8426","2.29244","75006","15th_75006_680","pl-75006","kfex3075","kfex3075_681"
"16th arrondissement","16th arrondissement","playground","48.8582","2.27489","75007","16th_75007_800","pl-75007","kfex3075","kfex3075_801"
"17th arrondissement","17th arrondissement","playground","48.8848","2.29792","75008","17th_75008_912","pl-75008","kfex3075","kfex3075_913"
"18th arrondissement","18th arrondissement","playground","48.8916","2.34965","75009","18th_75009_985","pl-75009","kfex3075","kfex3075_986"
"19th arrondissement","19th arrondissement","playground","48.8822","2.38195","75019","19th_75019_2322","pl-75019","kfex3075","kfex3075_2323"
"1K Paris","13 Boulevard du Temple, Paris","restaurant","48.864","2.36588","75003","1KP_75003_305","re-75003","kfex3075","kfex3075_306"
"20th arrondissement of Paris","20th arrondissement of Paris","playground","48.8648","2.39867","75020","20th_75020_2462","pl-75020","kfex3075","kfex3075_2463"
"7th arrondissement","7th arrondissement","playground","48.8538","2.31239","75001","7th_75001_170","pl-75001","kfex3075","kfex3075_171"
"99 Cameras Museum","6 Rue de Lota, Paris","museum","48.8674","2.2759","75016","99C_75016_1883","mu-75016","kfex3075","kfex3075_1884"
"9 HOTEL OPERA","14 Rue Papillon, Paris","playground","48.8764","2.34715","75009","9HO_75009_986","pl-75009","kfex3075","kfex3075_987"
"9th arrondissement","9th arrondissement","playground","48.879","2.33783","75002","9th_75002_244","pl-75002","kfex3075","kfex3075_245"
"AAMSPP","1 Place Jules Renard, Paris","museum","48.8845","2.28882","75017","AAMS_75017_2015","mu-75017","kfex3075","kfex3075_2016"
"Abbé Esquerré Square","2 Place du Président Mithouard, Paris","park","48.8503","2.3136","75007","Abbé_75007_714","pa-75007","kfex3075","kfex3075_715"
"Abbé-Migne Square","1ter Place Denfert-Rochereau, Paris","park","48.8337","2.33267","75014","Abbé_75014_1531","pa-75014","kfex3075","kfex3075_1532"
"Abricotel","15 Rue Lally-Tollendal, Paris","playground","48.8832","2.3737","75019","Abri_75019_2316","pl-75019","kfex3075","kfex3075_2317"
"Abyssinia","5 Rue Martin Garat, Paris","restaurant","48.8643","2.40704","75020","Abys_75020_2412","re-75020","kfex3075","kfex3075_2413"
"Access - TotalEnergies","181 Boulevard Vincent Auriol, Paris","restaurant","48.8316","2.3595","75013","Acce_75013_1413","re-75013","kfex3075","kfex3075_1414"
"A cote de chatelet","12 Place Carrée, Paris","park","48.8623","2.34517","75001","Aco_75001_30","pa-75001","kfex3075","kfex3075_31"
"ACTION BIKE Suzuki","66 Boulevard Auguste Blanqui, Paris","playground","48.8302","2.34824","75013","ACTI_75013_1494","pl-75013","kfex3075","kfex3075_1495"
"Adam Mickiewicz Museum, Paris","6 Quai d'Orléans, Paris","museum","48.8513","2.35567","75004","Adam_75004_465","mu-75004","kfex3075","kfex3075_466"
"Afaria","15 Rue Desnouettes, Paris","restaurant","48.836","2.29166","75015","Afar_75015_1690","re-75015","kfex3075","kfex3075_1691"
"Afpa - Centre de Paris Philippe Auguste","112 Avenue Philippe Auguste, Paris","playground","48.857","2.39133","75020","Afpa_75020_2466","pl-75020","kfex3075","kfex3075_2467"
"Agapé, Restaurant gastronomique Paris 17ème","51 Rue Jouffroy d'Abbans, Paris","restaurant","48.8849","2.30695","75017","Agap_75017_1992","re-75017","kfex3075","kfex3075_1993"
"Agate Hotel","8 Cours de Vincennes, Paris","playground","48.8476","2.39986","75012","Agat_75012_1302","pl-75012","kfex3075","kfex3075_1303"
"Agence France-Muséums","20 Rue Bachaumont, Paris","museum","48.8663","2.34459","75001","Agen_75001_122","mu-75001","kfex3075","kfex3075_123"
"Agence de voyage Montparnasse - Safeer Travel","Montparnasse, Paris","park","48.8398","2.32938","75006","Agen_75006_623","pa-75006","kfex3075","kfex3075_624"
"Agence de voyage TUI STORE Paris 11ème - Roquette","119 Rue de la Roquette, Paris","park","48.8581","2.38175","75011","Agen_75011_1056","pa-75011","kfex3075","kfex3075_1057"
"Agence de voyage TUI STORE Paris 11ème - Saint-Antoine","181 Rue du Faubourg Saint-Antoine, Paris","park","48.8506","2.38112","75011","Agen_75011_1058","pa-75011","kfex3075","kfex3075_1059"
"Agence de voyage TUI STORE Paris 12ème","53 Boulevard de Reuilly, Paris","park","48.8398","2.39711","75012","Agen_75012_1172","pa-75012","kfex3075","kfex3075_1173"
"Agence Nestenn Immobilier Paris 12","23 Rue de Toul, Paris","playground","48.8393","2.4024","75012","Agen_75012_1316","pl-75012","kfex3075","kfex3075_1317"
"Aire de jeux de la rue Hélène","12 Rue Hélène, Paris","park","48.8865","2.32473","75008","Aire_75008_817","pa-75008","kfex3075","kfex3075_818"
"Aire de jeux","71 Boulevard Haussmann, Paris","park","48.874","2.32367","75008","Aire_75008_823","pa-75008","kfex3075","kfex3075_824"
"Ajaccio Square","2 Boulevard des Invalides, Paris","park","48.8578","2.31489","75006","Ajac_75006_597","pa-75006","kfex3075","kfex3075_598"
"A l'Improviste","21 Rue Médéric, Paris","restaurant","48.8811","2.30395","75017","Al'_75017_1986","re-75017","kfex3075","kfex3075_1987"
"A la Ville de Petrograd","13 Rue Daru, Paris","restaurant","48.878","2.30177","75017","Ala_75017_1976","re-75017","kfex3075","kfex3075_1977"
"Albarino Passy","4 Rue Lekain, Paris","restaurant","48.8568","2.27863","75016","Alba_75016_1830","re-75016","kfex3075","kfex3075_1831"
"Albe Hotel","1 Rue de la Harpe, Paris","playground","48.8531","2.34472","75004","Albe_75004_477","pl-75004","kfex3075","kfex3075_478"
"Allard","41 Rue Saint-André des Arts, Paris","restaurant","48.8533","2.34101","75005","Alla_75005_531","re-75005","kfex3075","kfex3075_532"
"Allée Eveline Garnier","Rue de Louvois, Paris","park","48.8683","2.33731","75001","Allé_75001_26","pa-75001","kfex3075","kfex3075_27"
"Allée Andrée Jacob","Rue de Louvois, Paris","park","48.8683","2.33731","75001","Allé_75001_27","pa-75001","kfex3075","kfex3075_28"
"Allée Jacques Derrida","Boulevard Raspail, Paris","park","48.847","2.32811","75006","Allé_75006_604","pa-75006","kfex3075","kfex3075_605"
"Allée Soeur Emmanuelle","Boulevard Raspail, Paris","park","48.8441","2.32897","75006","Allé_75006_611","pa-75006","kfex3075","kfex3075_612"
"Allée Suzanne Noël","Boulevard de Ménilmontant, Paris","park","48.8631","2.3871","75011","Allé_75011_1089","pa-75011","kfex3075","kfex3075_1090"
"Allée Zabel Essayan","Boulevard de Ménilmontant, Paris","park","48.8631","2.3871","75011","Allé_75011_1090","pa-75011","kfex3075","kfex3075_1091"
