Arrondissement,Name Arrondissement,Name Arrondissement.1,Surface (ha),Population (2020),"Density (2021, hab/km²)",zipcode
1,1,Louvre,183,15919,8699,75001
2,2,Bourse,99,21119,21332,75002
3,3,Temple,117,32793,28028,75003
4,4,Hôtel-de-Ville,160,28324,17702,75004
5,5,Panthéon,254,56841,22378,75005
6,6,Luxembourg,215,40209,18702,75006
7,7,Palais-Bourbon,409,47947,11723,75007
8,8,Élysée,388,35123,9052,75008
9,9,Opéra[note 1],218,58951,27042,75009
10,10,"Entrepôt,anciennementEnclos Saint-Laurent",289,83543,28908,75010
11,11,Popincourt,367,142583,38851,75011
12,12,Reuilly,Horsbois de Vincennes,142340,22594,75012
13,13,Gobelins,715,178350,24944,75013
14,14,Observatoire,564,136368,24179,75014
15,15,Vaugirard,848,227746,26857,75015
16,16,Passy,Horsbois de Boulogne,165487,20921,75016
17,17,Batignolles-Monceau,567,164413,28997,75017
18,18,Butte-Montmartre,601,188446,31355,75018
19,19,Buttes-Chaumont,679,181616,26748,75019
20,20,Ménilmontant,598,189805,31740,75020
