name,rating,user_ratings_total,reviews
Scully St James's,4.7,893.0,"['I love the atmosphere and friendly service of this restaurant, dishes were served quickly but you have a lot of time to enjoy them.\nThe portions are very generous and they are of great taste if you enjoy flavours, though you might found some dishes a little bit heavy on the use of oil.\nGenerally it is a restaurant I would revisit with friends, especially given the relaxed environment, you can see their kitchen and service being really friendly.', 'Scully St James’s truly has it all. Incredible food, atmosphere and service. Chef was incredibly kind to accommodate our late arrival and cook some amazingly flavorful dishes - highly recommend the tasting menu, but come hungry. We started with mushrooms, fried octopus and tomato salad. The sauces here deserve their own awards. Our starters and mains are shown in the pictures, and each was its own work of art in addition to be delicious.\nThe other standout? Luis and his fellow waitstaff. They didn’t make us feel rushed, offered suggestions and had great senses of humor.\nWhat else could you ask for? Oh, excellent cocktail and wine list - check. We enjoyed their take on an old fashioned and elderflower gin fizz, followed by Georgian, Spanish and French wines/champagne.\nPlan to spend two hours, enjoy the open kitchen and laid back feel. Cannot recommend more.', 'Quickly became my favourite restaurant in London (and I am a foodie). I’ve been to 1 and 2 Michelin stars, but to me nothing compares to the experience Scully provides. The richness of flavours, the details, the innovative approach, the portions, the fact you basically have a chef’s table experience and get to watch him working up closely throughout the whole dinner, it’s unmatchable. Never had a better wine flight either - the wine pairing with the arepa it’s unbelievably good. My brother in law is vegan and he said he was the best tasting menu he had too. And the chef is so approachable and nice! I could spend hours writing about the incredible alchemy is done in here, but I will just say: BOOK YOUR TABLE.', 'What a wonderful experience. From start to finish everything was perfect. The hostess greeted us without even asking our names, then sat us in a nice area in the restaurant where we could see everything. The kitchen has an open concept, so it’s nice to see what they were doing without sitting at the counter. We were served our food at a nice pace and in enough time to catch our play at the theatre. Favourite dishes were the pork belly and spiced cake dessert. The aubergine was served cold, which would have been more complimentary warm or hot. The crispy rice cracker had a beautiful texture too.', '""We found the eating experience unique in offering shared portions and innovative food combinations. The staff were incredibly well informed and able to give in-depth detail which made our tasting explorative and stimulating. We will definitely\nbe back soon, thank you.""']"
Rules,4.6,2688.0,"[""Fantastic decor with lots of atmosphere. Food : Starter disappointing (dressed Crab & Onion Soup)\nMain: Cod with a mussel curried sauce was excellent & monk fish was good but slightly over cooked but still enjoyable.\nWe didn't have desert as we were full.\nService was good and friendly."", 'Lovely old school restaurent with a lot of history and character. We had the in season grouse and venison shin. The cocktails were insane: strong and flavorsome. The other dishes were great to. Staff were knowledgeable and welcoming. Steady pace to service and courses. Not rushed or slow. Great timing. We ate early, more of a late lunch at 5pm as we had a show to go to. Not sure how this would change at other times.', 'Fantastic place. Old London but despite the touristy edge, its actually fantastic.  The steak and kidney pie was awesome ( although I’m tinged with regret at not having the grouse).   Excellent cocktails, fantastic service and ambience.  A must try.', 'This was an Old English Restaurant. Had a wonderful wait staff, very knowledgeable and helpful. Not being familiar with English food, I went out of my normal. I had Potted Shrimp with toast for an appetizer, Beef and Kidney Pie as my entree, along with a Stilton and Walnut Salad. Everything was wonderful, and I surprised myself by how much I enjoyed everything. The real GEM was having a Guinness in a COLD Silver tankard. A very memorable occasion.', ""Dining at The Rules on Maiden Lane was an unforgettable experience. From the moment of arrival, the atmosphere was warm and welcoming, combining historic charm with modern sophistication. The staff was attentive and knowledgeable, ensuring every detail was perfect.\nThe menu showcased the best of British cuisine, with a focus on seasonal and locally sourced ingredients. Every dish was exquisite, with the venison standing out as particularly tender, flavorful, and expertly presented. The wine list was extensive and thoughtfully curated, offering perfect pairings for each course.\nThe ambiance, with its beautiful decor and rich sense of history, added to the special evening. The Rules is more than just a restaurant; it's an experience that truly captures the essence of London's dining scene. Highly recommended for anyone seeking a top-tier culinary adventure.""]"
The Ritz Restaurant,4.6,771.0,"['I recently had the pleasure of having lunch at the Ritz’s restaurant and it was an unforgettable experience from start to finish. The ambiance is elegant and refined, with a beautiful classic design.\n\nThe staff was exceptional- very attentive, friendly and kind, every detail was taken care of with professionalism, making the experience even more special.\n\nThe lunch menu was absolutely delicious. I highly recommend it🫶🏼\n\nHaving lunch at the Ritz was more than just a meal, but a luxurious experience with incredible food and service.\n\nLooking forward to be here again!', ""I recently celebrated my birthday at The Ritz restaurant and I must say, it was a delightful experience from start to finish.\nUpon arrival, we were warmly welcomed and promptly seated without any waiting. To kick off the celebration, we were treated to a lovely glass of champagne, setting the perfect tone for the evening. The ambiance was charming, and the staff were attentive and friendly, adding to the overall positive atmosphere.\nThe culinary journey began with beautifully presented starters that were not only visually appealing but also bursting with flavor. Each bite was a delightful surprise, and it left us eagerly anticipating the rest of the meal.\nThe main course was a true highlight of the day. It was not only delicious but also served with professionalism and attention to detail.\nTo top off the day, we indulged in the most amazing dessert. It was a sweet and decadent finale that perfectly capped off an already fantastic experience.\nOverall, my birthday celebration at Ritz was nothing short of amazing. The combination of excellent food, impeccable service, and a welcoming atmosphere made it a night to remember. I would highly recommend this restaurant to anyone looking for a special dining experience. I can't wait to return for another memorable meal."", ""It's The Ritz! What other review could there be?\nOf course the food is perfect. You can argue about the taste, some dishes were not to my liking, but that's my personal opinion. The only thing that is perfect is the desserts.\nThe service is top-notch. The waiters are very polite and helpful. Sometimes almost too much.\nThe prices are crazy, sure. But it's the The Ritz."", 'We so enjoyed our lunch. The set menu even included vegetarian options. The ambience, the service, and the fineness of the food offerings were all impressive and exceeded even our expectations, which were certainly high! Indeed beforehand we almost thought that the experience would be a little too fancy and snooty, but that was not the case at all. The care and concern was evident in everything from ensuring we were comfortable in our seats to checking on us throughout the meal and even giving us an additional dessert when there was a mistake in our order. My only quibbles would be that there was not a written menu for the tea selections, which I would have liked to see and peruse to make my choice, and the china sets that were used somewhat clashed with the interior.', 'It’s a wow experience-from the food, entertainment and service-we’ll be back for sure! We loved each course-all presented as works of art-the appetizer-salad-sea bass-beef Wellington-crepes Suzette-Champagne-Port-entertainment…\n\nStaff makes you feel like royalty with an off the charts experience\n\nJazz vocalist we’ve heard him sing at another venue in London and he’s fantastic-combining his talent with the 5pc band and then the performances by the dancing couple…vintage 20-30s era performance\n\nWorth every penny as the most expensive meal in London every year!\n\nThey deserve more than the 12.5% tip and we gave them their due!']"
Great British Restaurant,4.7,558.0,"['The Great British Restaurant has an upscale vibe within a posh atmosphere.\nOur waiter was OUTSTANDING.\nThe food was average-good in taste, portion size was on the smaller size and the meal was over priced in my opinion.', 'Great food and atmosphere. Very contemporary take on a shepherds pie (deconstructed). Deducting a star for service since it took a long time for our order to be taken and for drinks to arrive.', ""I recently visited this restaurant and was absolutely delighted! The atmosphere is incredibly cozy, with pleasant music and stylish decor. The service was top-notch — the staff was polite, attentive, and very friendly.\n\nAs for the food, that's a whole other story — the dishes were simply amazing! Everything was very fresh, delicious, and beautifully presented. I especially want to highlight the dish (fried pork belly with peas and potato croquettes); it was absolutely delightful! The portions are generous, and the prices are quite reasonable for this level.\n\nI definitely recommend this place to anyone who wants to enjoy not only delicious food but also a pleasant atmosphere. I will certainly come back again!"", 'Visited in September 2023. 4.5/5.\n\nFirst time visit to GBR, for an evening meal on a Friday evening, for an after work catch up with family in late September. The restaurant was high on my list to visit and I was very pleasantly impressed.\n\nThe food was incredible. The freshest produce used to make a delicious meal. We had Pork Tenderloin and Spring Lamb for mains, with this delightful Mushroom Soufflé. All cooked to perfection. The all day menu has plenty of choices for all tastebuds.\n\nThe restaurant was beautifully decorated, with fresh white linen. The service was great and almost personal. The atmosphere was a bit drab considering it was a Friday night in Mayfair, it wasn’t that busy (which is probably blessing in disguise).\n\nA worthwhile experience, for all occasions.', 'The looks of the foods are so fab, however the taste could be more flavorful. Portion is relatively small. Nice environment near Green park.']"
The Ledbury,4.7,1514.0,"['the best service of all the Michelin restaurants we have ever been to. Very friendly and positive staff. Excellent wine list. The food is generally really tasty and creative. It a couple of portions, in my opinion, the perfect combination of flavors was sacrificed to showiness and populism (like the dish with black caviar, which completely negated the flavor range of the other, really interesting ingredients.\nOverall a really cool restaurant with a good atmosphere, service, thoughtful details of dishes and interior and decent food.', ""This place had been on my list for a while and it mostly lived up to expectations. We came for Friday night dinner and enjoyed the relaxed and inviting atmosphere which struck a perfect balance without feeling too formal. The food was largely excellent, though the dessert unfortunately wasn't to my taste which was a shame. My favourites from the tasting menu were the tuna, scallop, duck and the pre dessert. The service was polished, friendly and helpful."", 'lovely restaurant in a very nice area. i went there for my birthday. we felt welcomed from the beginning. super friendly staff with a lot knowledge. food was amazing. plating on point and super interesting flavors and techniques. i loves that they have their own farms with animals and are very close to their suppliers. i could taste the amazing quality. my wife has a bell pepper intolerance and she got a great substitute dish. the owner is super friendly and comes to the table to present some dishes. great guy. hopefully i will manage to come back one day.. i would totally recommend this restaurant and wish all the staff all the best.', 'One of my favorite 3 stars in the world! I think the price is so good for what you get. The food tastes amazing (there’s not a single dish that I don’t like, even the substitutions due to my dietary restrictions are well thought out, composed, dishes. And they are particularly good at seafood.) The service is on the next level. The first time I was here, they noticed that I wasn’t eating the sourdough crust, and for the next serving of bread they actually only gave me the middle parts!!!!!! This time around, my Mocktail came a little late and the sommelier felt so bad that he said it was on him! I have just been so impressed with the food and the attention to detail. I truly don’t understand how this could be only a 4.7!', ""Truly one of the best fine dining establishments in London. From the first starter to the final bite of dessert, there's a great combination of flavours. The cocktails were also exceptionally well done. A special shout out to the staff, as they were professional but not stuffy.""]"
Steak and Company - Leicester Square,4.4,4973.0,"['Absolutely fantastic place to eat. Everything we ordered was delicious and made to perfection.  My husband had hot stone experience and it was even better than expected. My BBQ ribs were finger licking good. No mention the starters...especially buffalo sauce - cauliflower, something new to us and we absolutely loved it. We also enjoyed happy hour, and the cocktails were amazing. Service was outstanding and we loved every minute spent there. We will definitely come back to this place for another hot stone experience.', 'Gorgeous outdoor dining space. Perfect for before or after the theater. Award winning, tender steaks, festive drinks and great service. The perfect spot for a lovely dinner. The truffle mash makes a great side! Restrooms are clean and don’t forget to save room for dessert!', 'Excellent food and service. Had a bit of a challenge as the instructions on how to cook the steak and burger were not followed. Ended up waiting over and over again (twice) to get it redone. The staff was very helpful to support though and tried their best to resolve. Food itself was very good and presented well. Felt it was a bit expensive. I did not see the value in the premium I paid (even the addition of a small sauce costs ~3.5£)- you can get a similar quality meal at least 15% cheaper. Atmosphere was very loud for me - every birthday (3 during a 1.5 hr experience) resulted in loud cheering both from staff and from some guests. Generally otherwise the environment was very loud too.', 'They have halal menu so it is perfect. The well-done meat was so hard. You should order for medium cooked meat if you want well-done. The starters were good but the chips were so few. Also, the inside of the restaurant is dark and so noisy.', 'I went to Steak and Company for the 1st time as I was visiting London for an event. The hot stone steak (10 oz ribeye) was recommended so I ordered it. I’ve never had steak that way so wasn’t sure what to expect. I had ordered the king prawn starter and that was so tasty. When the steak arrived the young waiter warned me about not touching the hot stone and I realised why. Actually finishing  the cooking of my steak myself to exactly how I liked it was a new dining out experience for me but I’ll definitely be doing it again. One of the best steaks I’ve had. I had the sticky toffee pudding for dessert which again was very tasty. Superb meal all round. Excellent service. Will definitely come back when I’m in London next.']"
Berners Tavern,4.5,2204.0,"['We were staying in the Edition and since we just flew in, decided to have dinner here to avoid the pouring rain outside.\n\nStylistically, this spot is gorgeously decorated although it seems like the ambience cannot decide if it’s time for serious business conversation or posh clubbing.\n\nWe were greeted by four different servers, the soon with the champagne cart, and the assistant somm. Great, lovely service!\n\nOnce we ordered and it became clear that we were “only” ordering an app and a main, plus one glass of bubbles and one glass of wine each, we were completely ignored. We had to ask for our check 3 times, and it finally arrived 30 minutes after we first asked for it. Logically, it included a 13% service fee for the wonderful service we did not experience.\n\nHow was the food? The octopus was great, although it was rather oily and a very small portion. The mushroom soup was not a soup, but some nicely cooked vegetables with way too much fresh tarragon. The pork pie was bland… our waiter said it really needed salt and he didn’t have any. Perfect. The lamb rump was well cooked but missing the eggplant and anchovy flavor promised by the menu. The steak and fries were completely “fine”. At these prices, the food should actually be better than forgettable fine. The wine and bubbles were similarly overpriced and forgettable. There’s so much good food and drink in London…. It’s just not at the Edition.', 'Food was nice, but did expect something a bit more given it was a Jason Atherton restaurant.\n\nThe setting was nice, classic decor but a lot of artworks which could be disturbing.\n\nFood on average would cost £80 per person for two courses but if you add alcohol be prepared to pay about £180 per person.', 'This place is incredible, one of the most iconic spaces I’ve seen in london. The decor is just next level. Our meal was amazing, had the steak and salad. Cocktails were great as well, the service was next level!', 'Stunning interior with high ceilings and incredible hospitality. Tarzeem was the best server I’ve had in ages, what a delight. Next time, I want to sit at the 2 top in the mezzanine!', 'I stayed at The Edition and had breakfast and dinner there for 2 days. Really love the vibes and the design. Every time I sit there, I always feel fascinated on their decoration. Service are very lovely. The food is as perfect as their decorations.']"
Evelyn's Table,4.8,310.0,"['An amazing experience with phenomenal Chefs! We celebrated birthdays and every part of the dining experience exceeded our expectations. Emma…Thanks so much for excellent coordination efforts and assistance with special requests. The food was absolutely amazing, every dish was created with attention to detail and flavor pairings that wowed us each time. Unforgettable and amazing sums it up! Thanks again!', 'Evelyn’s Table is located under a busy bar in Soho, very close to Chinatown.\nThe menu changes every two weeks, offering customers a varied experience.\nTonight, I tried the Scottish native lobster and  Cornish pollock, along with tender pork belly, beautiful peach raspberry desert—very new English style . Surprisingly, you have to pay for the 5-course tasting menu before your visit. The food was cooked to perfection, top quality, and it was a lovely time for dinner between 8:45 PM and 11:00 PM.', 'Overall good experience / decent quality but I think it’s overrated on Google/social media. The summer menu feels to me a very strong association and seasoning with seaweed (from starter to main dish) which is both very sweet and savoury (probably too salty). So unfortunately I can’t say it’s a balanced and well designed menu.', ""Not worth it to try. Not at the level of Michelin one star. Only the appetizer is good. 5 course on the memu are very ordinary, Third course Very salty（Very！！）  Pork is very dry abd difficult to chew. I didn't expect this level of food to be rated Michelin star. There's one more important thing⚠️ the final dessert with cleaning the countertop together！just next to each other. The hygiene situation is worrying."", 'The food was great, specially the starters and desserts. Each dish showed great skill and a wide array of techniques. The service was vey kind, attentive & knowledgeable at all times.\nUnfortunately the day I visited the seating area felt a bit crammed making of my experience somewhat similar to eating in an airplane. Suggest early arrival to snatch the two solo seats at the back.']"
HIDE,4.5,3084.0,"[""During my recent visit to The Hide, I found the food to be decent but not particularly remarkable. Among the dishes we tried, the egg nest and grilled octopus stood out as the better options, showcasing some creativity and flavor. However, the overall dining experience was marred by service issues.\n\nIt was a busy night at the restaurant, which undoubtedly contributed to the challenges we faced in getting attention from our server. We often found ourselves needing to flag down someone just to refill our water or wine glasses, which is frustrating during a celebratory girls' night out in London.\n\nWhen our main courses arrived, there was a notable mix-up with the orders. The server seemed confused about which dish belonged to whom, which is quite unacceptable, especially in a busy restaurant setting. This added a layer of stress to the evening that detracted from our enjoyment.\n\nUltimately, the lack of timely refills for our drinks significantly impacted our experience. It’s disappointing when a night out is overshadowed by service shortcomings, despite the potential for a good meal. I hope The Hide can address these issues, as the food has promise, but the service needs improvement to match."", 'Wonderful dining experience!  Friendly, yet intimate!   They have open dining as well as some hidey places for smaller parties.    We received a small tour afterward from the friendly steward.\n\nPlates were attractive and flavorful.   Get here before they earn their second star!!!!    Unprecedented wine list!!!', 'Hands down best breakfast place in London. Obsessed with their food. Come here every couple of weeks to check out new pastries on the menu- always innovative! It is pricey, but as expected in Mayfair. Service not always on point (they seem to have a lot of rotation), but that’s just a detail and the food is worth it! Nice coffee selection with some interesting choices. Try it!', 'Immaculate, delightful breakfast full of flavour and taste. We visited twice to experience it. Granola bowl was almost a field of fruit and flowers, eggs perfectly poached on avocado or muffins, bread and muffins excellent char on the outside and soft warm centres. Service was superb, and they obviously remembered us on the second day with a warm welcome. Expensive, worth it, and cheaper than most of the park lane hotels down the road...\nEspresso £7, Tea from £5, most breakfast mains between £15 to £25.', 'Hide continues to impress! My first visit was for my birthday, and it was a truly memorable experience. I recently returned for brunch, and it was just as fantastic. The atmosphere is both elegant and welcoming. Whether for a special occasion or a casual brunch, Hide never disappoints.']"
The Restaurant at St Martins Lane,4.6,336.0,"['Amazing evening , surprise … our waiter was so attentive and kind . The food was beuon expectations. The dishes were amazingly delicious and presented like piece of art . This place is simply fabulous. The desserts were stunning', ""My wife and I celebrated our Valentine's date at this restaurant, and it was an unforgettable dining experience. From the moment we stepped inside, the cozy and welcoming ambiance enveloped us, setting the stage for a truly romantic evening.\n\nThe menu was nothing short of impressive, offering a delightful variety of dishes that seemed to cater to our every craving. Each dish we ordered was a masterpiece, showcasing a brilliant combination of ingredients that danced together perfectly on the palate. The flavors were rich, sophisticated, and beautifully balanced, reflecting the high level of culinary expertise behind their creation.\n\nNot to be overlooked, the drinks selection was extensive, featuring everything from classic cocktails to non alcoholic beverages, ensuring the perfect pairing for every course of our meal. The attentive staff recommended excellent choices that complemented our meals exquisitely.\n\nIn every aspect, this place delivered a luxurious dining experience that made our Valentine's celebration truly special. The care and detail put into every aspect of our visit were evident, making it a place we would highly recommend to anyone looking to create memorable moments over exceptional food and drink."", 'The best meal I’ve had in ages! Every dish was incredible, full of flavour and brilliant service. Our server Manuel was very attentive, thank you.', 'We had afternoon tea. We had great service from Kohinoor.  She made the experience one we won’t forget.  She was attentive to our every need.  👍👍', 'Wonderful tea service, including a vegan option.  The art in the room also has great character.  Our server Monika was also great and provided nice explanations of each tea service item.  Definitely a great experience!']"
