Unnamed: 0,name,rating,vicinity,type,zip_code,zipcode,unique_id,type_id,df_id,df_unique_id
1,VirtualTime Réalité Virtuelle Paris Châtelet-Montorgueil,4.6,"38 Rue d'Aboukir, Paris",amusement_park,75001,75001,Virt_75001_0,am-75001,kfex3075,kfex3075_1
2,Suzanne Berlioux swimming pool,3.7,"10 Place de la Rotonde, Paris",amusement_park,75001,75001,Suza_75001_1,am-75001,kfex3075,kfex3075_2
3,Parque De Diversão,4.6,"2-8 Rue de Castiglione, Paris",amusement_park,75001,75001,Parq_75001_2,am-75001,kfex3075,kfex3075_3
4,Bomb Squad Paris,5,"94 Boulevard de Sébastopol, Paris",amusement_park,75001,75001,Bomb_75001_3,am-75001,kfex3075,kfex3075_4
5,thanina thannina,Note non disponible,"Rue de la Colombe, Paris",amusement_park,75001,75001,than_75001_4,am-75001,kfex3075,kfex3075_5
6,VirtualTime Réalité Virtuelle Paris Bastille-République,4.8,"72 Boulevard Voltaire, Paris",amusement_park,75003,75003,Virt_75003_5,am-75003,kfex3075,kfex3075_6
7,Flaneur,5,"Arsenal de Paris, Paris",amusement_park,75004,75004,Flan_75004_6,am-75004,kfex3075,kfex3075_7
8,VirtualTime Réalité Virtuelle Paris Montparnasse-Luxembourg,4.7,"33 Rue Vavin, Paris",amusement_park,75005,75005,Virt_75005_7,am-75005,kfex3075,kfex3075_8
9,Balançoires,3.8,"1 Allée de la Comtesse de Ségur, Paris",amusement_park,75008,75008,Bala_75008_8,am-75008,kfex3075,kfex3075_9
10,Au Petit Poulbot,4.4,"16 Place des Abbesses, Paris",amusement_park,75009,75009,AuP_75009_9,am-75009,kfex3075,kfex3075_10
11,MonterKing,Note non disponible,"5 Rue de Dunkerque, Paris",amusement_park,75009,75009,Mont_75009_10,am-75009,kfex3075,kfex3075_11
12,Pool Champerret,3.3,"36 Boulevard de Reims, Paris",amusement_park,75017,75017,Pool_75017_11,am-75017,kfex3075,kfex3075_12
13,Folie des Visites,3.9,"Galerie de la Villette, Paris",amusement_park,75019,75019,Foli_75019_12,am-75019,kfex3075,kfex3075_13
14,Seven Squares Paris,4.6,"Boom Boom Villette, 30 Avenue Corentin Cariou, Paris",amusement_park,75019,75019,Seve_75019_13,am-75019,kfex3075,kfex3075_14
15,Aventure Fantastique,4.8,"2 Square des Cardeurs, Paris",amusement_park,75020,75020,Aven_75020_14,am-75020,kfex3075,kfex3075_15
16,Café Kitsuné Palais Royal,4,"51 Galerie de Montpensier, Paris",Coffee shop,75001,75001,Café_75001_15,Co-75001,kfex3075,kfex3075_16
17,Café Kitsuné Tuileries,4.2,"208 Rue de Rivoli, Paris",Coffee shop,75001,75001,Café_75001_16,Co-75001,kfex3075,kfex3075_17
18,Musée d'Orsay,4.8,"Esplanade Valéry Giscard d'Estaing, Paris",museum,75001,75001,Musé_75001_17,mu-75001,kfex3075,kfex3075_18
19,Louvre Museum,4.7,Paris,museum,75001,75001,Louv_75001_18,mu-75001,kfex3075,kfex3075_19
20,Conciergerie,4.4,"2 Boulevard du Palais, Paris",museum,75001,75001,Conc_75001_19,mu-75001,kfex3075,kfex3075_20
21,The Centre Pompidou,4.4,"Place Georges-Pompidou, Paris",museum,75001,75001,The_75001_20,mu-75001,kfex3075,kfex3075_21
22,Musée Grévin,4.4,"10 Boulevard Montmartre, Paris",museum,75001,75001,Musé_75001_21,mu-75001,kfex3075,kfex3075_22
23,Musée de l'Orangerie,4.6,"Jardin des Tuileries, Paris",museum,75001,75001,Musé_75001_22,mu-75001,kfex3075,kfex3075_23
24,Musée des Arts Décoratifs,4.5,"107 Rue de Rivoli, Paris",museum,75001,75001,Musé_75001_23,mu-75001,kfex3075,kfex3075_24
25,École nationale supérieure des Beaux-Arts,4.5,"14 Rue Bonaparte, Paris",museum,75001,75001,Écol_75001_24,mu-75001,kfex3075,kfex3075_25
