name,rating,user_ratings_total,reviews
The Modern,4.6,2307,"['Simply exceptional in every category. This was one of the few experiences where I didn\'t provide any constructive feedback at the end of my visit.\n\nSam, Isabel and Gabe (and the entire team) provided a comfortably elegant experience. Seated at a table overlooking the courtyard I was able to view the entire dining area as well as hear the beautiful energy coming from the Bar Room.\n\nAfter a brief consult with Sam we opted for ""Abstractions"" with the paired wines. This turned out to be an exceptional choice.\n\nEvery dish and every wine proved to be a beautiful symphony of flavors - simply sensory perfection.', 'What an incredible and unforgettable dining experience at The Modern. From the moment I walked in, I was warmly welcomed and made to feel like the only guest in the entire restaurant. The level of service was exceptional, with every detail attended to with care and attention. Despite my dietary restrictions, the staff ensured that the tasting menu was safe for me and tailored to my needs.\n\nAs for the food, it was truly exceptional. Each dish from the tasting menu was perfectly portioned and impeccably presented. The duck and the cheesecake ice cream were standout highlights from the Impressions menu. Every bite was a burst of flavor and creativity. The experience was well worth the investment, and the opportunity to dine inside the MoMa only added to the overall enchanting ambiance.', 'I booked the Kitchen Table and it was an incredible experience. The food was absolutely amazing and you left feeling full but not stuffed. The atmosphere was very fun and it was unique to see all the chefs in action. This experience was worth every penny and was right up there with any 3 Michelin Starred restaurant. The staff made us feel very comfortable and it was a very enjoyable experience. We had dietary restrictions and they were able to accommodate with ease! If you are able to get a reservation for the Kitchen Table or the dining room for the tasting menu while in NYC, do yourself a favor and book it!', 'Eggs on eggs on eggs was worth the hype, easily one of my favorite dishes in recent memory. Other than the duck dish (fell flat), everything was to our liking. Cocktails were delicious, especially the espresso martini. We had an early reservation and the restaurant was fairly empty but filled in part way through. Part of the meal was done outside in the garden which was nice.', ""This place is phenomenal. Service is top notch and has a very elegant atmosphere.\n\nReservation: fairly easy. I managed to make the dinner reservation for the same day.\n\nFood: it's spring menu during my visit. everything is nearly perfect. It started with eggs on eggs on eggs, which is their signature. The first bite was unforgettable but I continued, I found it a little too salty. The other dishes are impressive, but not innovative. I wish the flavors and combinations have more surprises. To be honest , food alone is not worth Michelin 2 stars.\n\nI was told that the menu doesn't alter too much over the years. I probably won't come back.""]"
Gramercy Tavern,4.6,4066,"['We had a fabulous meal, everything was delicious! We loved the dips so much we ordered a second round. The oysters were the best! And of course, the chocolate chip cookie for dessert! Highly recommend everything. Also, the service was great and Alicia took excellent care of us and we had fun with her! Definitely recommend!', 'I came here for a birthday celebration. The food was good but not outstanding.  Their service was just ok. After serving each dish, they did not even bother to ask how s the taste of the dish. I guess they either were confident that customer would like the dishes or the restaurant did not care of their customers.  Their dessert was quite disappointing, they were too sweet.\n\nI think I would not go back there again.', ""Came for their dining room menu. We got one of each things on the menu. Everything was delicious and so special. I loved the carrot, cabbage, and raviolis. They gave us a carrot cake since we're here for a small celebration and two lemon poppy seed pound cakes to go. Overall, this is one of my favorites restaurants in NYC! Would definitely come back here again!"", ""Went to this restaurant for restaurant week. Definitely great value at that price! The lumache was one of the best dishes I've had in NYC. Staff is also very friendly and cool decor. Also good free bread.\n\nI do think the desserts however need improvement. They were too sweet and did not feel elevated compared to the other items."", 'The environment is charming and delightful. Service is exceptional, with a friendliness that surpasses typical Michelin restaurants, making the experience feel more genuine. I tried the lunch menu during Restaurant Week, and the dishes were incredible. The hanger steak was tender and full of flavor, and the desserts and appetizers were well-balanced and light. Highly recommend giving it a try!']"
Carmine's,4.5,16612,"[""This place came highly recommended. We made reservations for 6 pm. Crowds were waiting outside. Once we got in we were told they were running behind. We didn't get seated until 6:30. Unfortunately we got seated at a busy spot and all evening long I kept getting my seat bumped. Our waiter brought over a basket of bread plus two glasses of prosecco for our anniversary dinner. Our waiter was very helpful in advising us on what to order. He recommended chicken marsala over spaghetti, just one order to split. It turned out the plate could have fed four people. It was good. The portion size makes up for the expensive dish since it is huge. It was hard to hear but it was a lively atmosphere."", 'Great place for a large group to dine and share food. The portion here is huge as it’s family style and worth the price. We ordered the crispy calamari, chicken marsala, linguine with white clam sauce, porterhouse contadina style, and two bottles of red wine. My favorite was the pasta! It was plenty for 6 people and even had leftovers to take home. We barely touched the bread knowing that we’ll get full from it. The service was great and the staff is amazing at upselling (so subtle and got us at times). They even sang happy birthday to my coworker and brought a free dessert.', ""I love the family style food, it's so easy to share different items with friends and family. It looks somewhat like a traditional Italian restaurant and it was packed to the brim, lots of tourists due to the location. The service was good, it can be a bit erratic when they get super busy but they are doing their best. We ordered several different items and they were all delicious with generous portions. We also ordered the Titanic dessert and it was a massive pile of ice cream, brownie, strawberries, and whipped cream. It definitely hit the spot."", ""We chose the wrong food option, it looked great, but the flavor wasn't my cup of tea. The food is family style and has giant portions. The salad was great and the free bread was ok. The water we got was expensive, didn't know it cost money till we got the bill. The waitress didn't come over that often and we had to ask for more water. If we got the right food option and the water didn't cost money, it would probably be a five star."", ""We all loved the place. It was Sunday morning, so good thing that we made a reservation as it was totally packed. Our table for 6 was ready within 5 minutes or less, however our server took like 15 minutes to come by and get our order. We loved the calamari and the artichokes, got the special with 4 different pastas and the veal. All to share. Everything was delicious. We will definitely come back on our next visit to NYC. If it's your first time, beware of the amount of food on each plate. We were 6 and couldn't finish it all.""]"
Boucherie Union Square,4.7,3208,"['This restaurant is in the top 3 restaurants I’ve ever been to! Our steaks were perfectly cooked and the service and atmosphere is remarkable. We got oysters and the watermelon salad for starters and everything was fresh and the sauces for the oysters were delicious especially the malt vinegar based sauce. I recommend the steak frites! For drinks get an espresso martini.', 'Our meal was extremely delicious, beautiful , and the service was amazing!!! The hostess was so nice, Jose at the bar was so professional, and our server Oscar was such a fun person we will definitely be back FOR SURE!  Great experience!!!!', 'A little chaotic but we did go closer to Christmas time so it’s justifiable. The food is soooo delicious. The steak was perfectly cooked. The desserts are to die for. The seafood tower was so refreshing and the staff were incredibly friendly!!', 'Grand Boucherie is more than just a restaurant—it’s a culinary journey that transports you straight to the heart of France. Best French onion soup in town. Their ambiance, service, and, most importantly, exceptional food is top notch. Highly recommend!', 'My boyfriend and I went here for his birthday on a Friday evening. Our experience was wonderful from the service to the food I would give it a 10/10. We have visited another location and we would return to both! Our waiter Oscar was exceptional as well making our experience as enjoyable as possible. We hope to return!']"
Upland,4.5,2153,"['Got the seared salmon and it had a great crispy skin with nice flaky flesh. The succotash was a lot more brothy than I expected but it was a pleasant accompaniment to the salmon and acted like a sauce. Satisfying and not too heavy for lunch.\n\nThe vibe of the place was very cozy. Gets lots of sunlight and is very roomy. The space allowed for conversation without too much background noise.', 'Great vibe place.  Service prompt and courteous.  Food quality is solid/good, but I can not say “out of this world.”  I would go back for a great time, drinks and atmosphere brought together with solid food.', 'The Hospitality was on point Rachel was our server and she was so nice to me and my friend I felt the atmosphere was nice the food was good despite me not liking the duck but I will definitely come back because it was spot on service and I will definitely recommend to my friends and if you have never been a must. And we love the setup of the restaurant the bar like close by the entrance of the restaurant. we ordered the duck wings and the skirt steak and the salmon everything was to my liking but just the duck to me was missing something but overall great experience great energy and a must to come back to thanks for the food Upland.The Hostess was nice also she was very welcoming I forgot to get her name but she had glasses but very nice.', ""Upland is always a favorite when I'm in NYC. The open, spacious, and bright area is welcoming, with good-sized tables that make dining comfortable. The service is consistently top-notch. I once dined alone while traveling for work, and they kindly offered me a free ice cream with my meal, which was a lovely gesture. The portions are generous (as you’d expect in America), so there's no need to over-order, and the quality is good."", ""Celebrated a birthday here. The food and atmosphere were great, but the service was above and beyond. Considering the food quality and service, it was definitely worth the price to us. From the pizza to salmon to short ribs nothing fell short.\n\nWe had a guest who is sensitive to some seasonings and they accommodated in a very nice way for her in a way some other restaurants of this caliber wouldn't.\n\nI would happily return again in the future""]"
Manhatta,4.7,2409,"['Food 9/10\nWent for a birthday dinner. The hamburger was surprisingly good, which we ordered at night even though it wasn’t on the dining area menu. The team was nice enough to allow us to put in three orders, in addition to the three course meal we put down. I was so stuffed at the end. The red wine was very smooth. All three courses were very solid, the duck was my least favorite part, as I felt like it could’ve been more tender / flavorful. Their desserts were very delicious, so delicious that I forgot to take a photo. But the star of the show was actually the hamburger, which thoroughly shocked me. I usually never eat hamburgers, so I guess this was a very pleasant surprise\n\nAtmosphere 10/10\nGorgeous skyscraper view of the city. It was beautiful to be seated facing north by the window, watching the sun set as we enjoyed our meal. Very spacious and sleek modern design.\n\nService 10/10\nAmazing service and hospitality. A great experience.', 'the perfect spot for an anniversary dinner or special occasion. very romantic ambience, top tier service and an impressive 4 course menu options (including 2 complimentary palate openers/cleansers!). the cocktails are great too and of course the views are wonderful. thank you for making our night extra special xx', 'Manhatta is an absolute gem in NYC! From the moment we stepped into the restaurant, we were mesmerized by the jaw-dropping views—an incredible backdrop of the city skyline that adds a whole new level to the dining experience. The ambiance is refined and sophisticated, yet welcoming, making it the perfect spot for an unforgettable evening.\n\nOur waitress was phenomenal—lively, personable, and incredibly knowledgeable. She guided us through the menu with such passion, offering spot-on recommendations and ensuring we were well taken care of throughout the night. Her attention to detail and warm demeanor made the experience feel truly special.\n\nThe food was just as impressive as the view. Every dish was beautifully presented, bursting with flavor, and crafted with meticulous care. From the exquisite starters to the perfectly cooked entrees, each bite was an experience in itself. The cocktails and wine pairings were also on point, adding another layer of enjoyment to the meal.\n\nManhatta is more than just a restaurant—it’s a destination that offers exceptional food, stellar service, and *those* breathtaking views. Whether you’re celebrating a special occasion or simply want to experience the best of what NYC has to offer, Manhatta is a must-visit. Highly recommended!', 'We went last Saturday. I didn’t calculate time appropriately and was very late to my reservation, and the Manhatta team was super accommodating. Service was really good.\n\nI had the espresso martini and it was outstanding. I’ve ordered this same cocktail in many dining places and this one is my favorite so far. I ordered the 4-course tasting menu. I would it say it was good.\n\nThe view is unmatched. And we were lucky that that same night they were doing fireworks in Brooklyn which we could see at dessert time.', ""We wanted to try this exclusive dining experience via Capital one and were fortunate to have a window seat to celebrate our anniversary. The service was exceptional of course, with a breathtaking view, and most importantly, the food was exquisite! Every course was delightful, and this may be one of the few restaurants where we relished every dish. Nothing was overcooked; each ingredient was beautifully enhanced in flavor through creative and unique pairings. I opted for four courses, but we were completely stuffed by the second course to third course. Personally I'm a very picky New Yorker, especially with desserts, but Manhatta did not fail to amaze me. If you're seeking a beautiful and romantic restaurant with superb service and stunning views for an evening celebration, Manhatta is a must-visit!""]"
Per Se,4.5,1777,"['We have been to a few two and three star restaurants that did not live up to our expectations, but Per Se did. The food and service exceeded our expectations. When we first were seated at our table overlooking Columbus Circle, the hostess pointed to a small stool and said, ""This is a rest for your purse."" This small touch tells you about the attention level in the restaurant. Each course was perfectly timed and bursting with flavors. The sizes were perfect. By the end of the dinner we were full but not stuffed. And then came six or seven tiny desserts. At the end we got a bag with tasty morsels as mementos, as well as a menu of what we had signed by the chef. It was a memorable dinner.', ""This was an excellent experience. The service staff was phenomenal. They were very professional and friendly. They helped guide us through the menu and ensured our dietary restrictions were not a concern at all.  The main dining room and 9 course tasting menu comes  with a hefty price tag but it is worth it. The food is excellent and you will certainly leave full but not stuffed. This was one of the best meals we have had to date. Walking through a mall to get to a 3 Michelin Star restaurant is off putting but the view once you get there helps you forget all about that. I'm very happy we had the opportunity to eat in the main dining room and next time I am in New York I will do my best to get a reservation there again. Definitely add it to your must eat list when visiting NYC!"", 'When you book at a Michelin 3 Star restaurant expectations are pretty high. Especially when you fly in special to New York for your wife’s milestone birthday.\n\nCould it be that good?\n\nThe short answer is yes.\n\nAmazing view. I couldn’t believe our table overlooking Central Park.\n\nWait staff. Totally matched our vibe. Attentive, funny and the right mix of leave me alone with a hint of answering questions and lightheartedness. Shoutout to Eric!!!\n\nThe food. It’s all about the food, right? Upon the first bites in your mouth you wonder what you’ve been chewing your whole life. It certainly wasn’t this. I have the palette of a kindergartner and even I was blown away from the flavors, textures and sensations.\n\nTo top it off a few special extras for my wife’s birthday. Worth the special trip.  Couldn’t imagine having done anything else.', ""It's spectacular, it lived up to it's reputation. It's a seven course tasting menu, although if you count the number of desserts it's more like 11. We both had the wagyu supplement which we would highly recommend.\n\nWe have done a number of Michelin three starred restaurants, some deliver and some disappoint. In New York Per Se and Le Bernadin are both extraordinary. We were really underwhelmed by Jean George."", 'This place is so hard to review. Obviously the cooking is at a world-class standard, but aside from a couple of dishes like the classic oyster and pearls and the quail. Nothing really blows you away. The eight or nine different desserts is a nice touch at the end and there’s some real crackers in there the thing that’s most surprising about this place. Is that the atmosphere the decor feels like a Hilton lobby. Which when you’re paying $400 a plate feels very underwhelming, I’ve definitely had better. Michelin star Dan experiences and I would not say this is a must do.']"
1803 NYC,4.5,1675,"['Great atmosphere. Went for a really early birthday dinner on a Sunday. Food came out fast, was delicious, and the ambiance was great. Highly recommend the Mac n cheese. I also recommend the ribs as they were finger licking good. My table had the peach salad, gumbo, and jambalaya. Everything was good.', ""Rare for me to give 5 stars across the board,  u tend to reserve that for the places I appreciate most in any particular trip.  We've ate at some great couples well in New York but this place is a hidden JEM!  A bit of the south tucked into a beautiful looking corner spot with outside seating.   The gumbo and jambalaya were both wonderful.   The drinks were great and the price is reasonable."", 'This is a fantastic restaurant! The food is excellently seasoned and the best I have ever tasted! I’ve been to New Orleans twice and the atmosphere and service here is superb! Brings me great memories! I definitely recommend and will bring more family and friends over! Love it!', 'Super impressed by the food here! The charbroiled oysters was sooo delicious. I loved the ribs and the dirty rice especially. The drinks were also tasty and they had a great selection of cocktails. It’s a cozy spot and service was good. Can’t complain!', 'Today was my second time here. First time I came for dinner almost a year ago and today I did brunch. To me, brunch is the star of the show. The banana foster french toast was amazing! My friend also really enjoyed their fried chicken and waffles. I had a bite and it was really tasty. I have always loved their cocktails and it was good as I remembered. The only thing that was mid was the dirty rice. It just needed some salt. Otherwise, the seasoning was good. Im excited to come back and try some more things']"
Via Carota,4.4,2658,"['Come on… THEIR STUFF IS AMAZING!!!\nCodfish was spectacular. A lot of olive oil on it just the way it needs to be done.\nDessert was also divine.\n\n2 things to be improved but I’ll still leave the 5 stars:\n\n1- Restroom line. Line to go to the restroom in a restaurant like that makes no sense.\n2- They served me a whole grain or a wheat-kind-of bread and it was cold to room temperature. Next time ask the customer because I’ll rather have a warm white bread.', 'Got super lucky and got the private room for a table for four! Friendly service and amazing apps & pork belly main dish, but surprisingly the pasta dishes were very bland and slightly overcooked. Would come again for the fried calamari & salad', 'Absolutely loved my experience here! They were able to seat my very quickly and I did not have a reservation. It was a little packed but they made it work. The drinks were so good and the pasta was delicious. The tiramisu was 10/10. My new favorite restaurant!', 'Amazing food. We had the sardines, anchovy salad, fresh risotto and grilled chicken. The chicken was really tender and tasty. Risotto full of cheese and flavour. Finished off with tiramisu and canoli. A bit pricey ($120/person) but worth it.', 'My friends and I had dinner at Via Carota for the first time three weeks ago. It was one of the most special dinners I’ve ever experienced.  The kitchen staff perfectly executed each dish, as every bite was divine.  From the mouthwatering arancini, to the famed insalata verde, and to the show stopping Meyer lemon risotto- everything was truly unbeatable, unforgettable, and untouchable. We also ordered the melt-in-your mouth and perfectly seasoned rib eye, grilled artichokes, and cacio e pepe.  Food was extraordinary, staff was friendly and wonderful, cocktails were top tier.  10/10.']"
Boucherie West Village,4.7,4962,"['To be honest, we couldn’t get into the brunch spot we initially wanted so we came here. Milli was our server & was so adorable! She turned our spirits around and the food was incredible. Highly recommend this spot and her.', 'Five-Star Review:\n\nI recently dined at this charming French restaurant and was absolutely blown away by the food, especially the French onion soup and the lamb rack. The French onion soup was perfection—rich, deeply flavorful broth with just the right amount of sweetness from the caramelized onions. The cheese was beautifully melted, with a crust that made every spoonful indulgent and comforting.\n\nThe lamb rack was equally exceptional. Cooked to a perfect medium-rare, the meat was tender, juicy, and bursting with flavor. The herbs and seasoning complemented the natural richness of the lamb without overpowering it. The presentation was elegant, and the portion was generous.\n\nFrom start to finish, the meal was flawless, and the warm, inviting atmosphere made it even more enjoyable. I highly recommend this spot to anyone looking for an authentic and memorable French dining experience!', 'The restaurant has very nice atmosphere and the service is very good. After reading all 5 star reviews, I had high expectations for the food. In my opinion, food is the most important thing. Although all the items we ordered tastes good, but they all lack that “Wow” factor. I would probably give 5 stars for another restaurant, but for the price and setting for Boucherie at West Village, it does not justify that rating for the food alone.', 'Boucherie is undoubtedly one of my all-time favorite dining spots in all of Manhattan. Every visit feels like a special occasion, thanks to the consistently exceptional service and culinary offerings.\n\nThe menu is a delightful homage to classic French cuisine, and I’ve found myself drawn to several standout dishes. The steak tartare is expertly seasoned, with a perfect balance of flavors and textures that always leaves me craving more. The scallops are beautifully seared, tender, and served with a sauce that complements them flawlessly. The octopus is another highlight—grilled to perfection and bursting with flavor, it’s a must-try for seafood lovers.\n\nFor heartier fare, the beef bourguignon is a rich, comforting dish that embodies the essence of French cooking, while the ribeye steak is simply divine—juicy, flavorful, and cooked exactly to order. Each dish showcases the kitchen’s attention to detail and commitment to quality.\n\nThe beverage selection is equally impressive, featuring an excellent array of French wines that pair wonderfully with the menu. Whether you’re a wine connoisseur or just looking to explore, there’s something for everyone. Additionally, Boucherie offers a fantastic selection of absinthe and creative cocktails that elevate the dining experience.\n\nOur server, Lola, deserves a special mention. She was incredibly attentive and knowledgeable, providing excellent recommendations and making sure our experience was flawless. Her warm demeanor added to the inviting atmosphere of the restaurant.\n\nOverall, I can’t recommend Boucherie highly enough. Whether you’re celebrating a special occasion or simply enjoying a night out, this restaurant delivers an unforgettable experience that captures the spirit of French dining. It’s a true gem in Manhattan that I’ll keep returning to.', ""Milli was fantastic, we had the best girls brunch. The food was great, we enjoyed the Wagu burger and fries. We had mimosas and an espresso martini, followed by mimosas. I'd recommend this place if you're in the neighborhood! Such a fun time with delicious food.""]"
